prompt,context,output
"Extract the target person's education history as JSON.
Target person: Abeba Birhane
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BSc / BA"", ""field"": ""(BSc and BA)"", ""university"": ""Bahir Dar University"", ""year"": ""—"", ""country"": ""Ethiopia""}"
"Extract the target person's education history as JSON.
Target person: Abeba Birhane
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MSc"", ""field"": ""Cognitive Science"", ""university"": ""University College Dublin"", ""year"": ""2015"", ""country"": ""Ireland""}"
"Extract the target person's education history as JSON.
Target person: Abeba Birhane
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Cognitive Science / Computer Science"", ""university"": ""University College Dublin"", ""year"": ""2021"", ""country"": ""Ireland""}"
"Extract the target person's education history as JSON.
Target person: Adji Bousso Dieng
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Diplôme d'ingénieur"", ""field"": ""Engineering"", ""university"": ""Télécom ParisTech"", ""year"": ""2013"", ""country"": ""France""}"
"Extract the target person's education history as JSON.
Target person: Adji Bousso Dieng
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""M.S."", ""field"": ""Applied Statistics"", ""university"": ""Cornell University"", ""year"": ""2013"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Adji Bousso Dieng
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Statistics"", ""university"": ""Columbia University"", ""year"": ""2020"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Aleksandra Korolova
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.S."", ""field"": ""Computer Science"", ""university"": ""MIT"", ""year"": ""Not stated in any source (gap)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Aleksandra Korolova
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""Stanford University"", ""year"": ""Discrepancy: biography.md lists 2011; raw sources say 2012"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Alondra Nelson
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BA"", ""field"": ""Anthropology"", ""university"": ""University of California, San Diego"", ""year"": ""1994"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Alondra Nelson
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MPhil / PhD"", ""field"": ""American Studies"", ""university"": ""New York University"", ""year"": ""2003 (PhD)"", ""country"": ""USA""}"
